,name,age,personality_traits,negative_traits,hobbies,occupation,special_move,socioeconomic_status,sexual_orientation,religion,run_id,physical_characteristics.height,physical_characteristics.hair_colour,physical_characteristics.eye_colour,physical_characteristics.skin_colour,physical_characteristics.build,Ethnicity,Gender,Group
0,Emanuela,31,"('compassionate', 'curious', 'optimistic')","('impatient', 'overthinking', 'stubborn')","('painting', 'gardening', 'hiking')",marine biologist,Whirlwind Leap,middle class,heterosexual,agnostic,0,5.6,brown,green,fair,athletic,ITALIAN,F,"('ITALIAN', 'F')"
1,Nikica,27,"('creative', 'thoughtful', 'analytical')","('indecisive', 'introverted', 'perfectionist')","('woodworking', 'photography', 'coding')",software engineer,Data Burst,upper middle class,bisexual,humanist,0,5.9,black,hazel,olive,average,SLAV,M,"('SLAV', 'M')"
2,Raimondas,35,"('friendly', 'outgoing', 'resourceful')","('impulsive', 'blunt', 'restless')","('cooking', 'surfing', 'playing guitar')",Bartender,Flame Toss,working class,gay,atheist,0,6.2,blonde,blue,tan,muscular,BALTIC,M,"('BALTIC', 'M')"
3,Pierpaolo,45,"('dedicated', 'meticulous', 'wise')","('pessimistic', 'skeptical', 'cynical')","('reading', 'bird watching', 'chess')",historian,Time Freeze,middle class,heterosexual,Catholic,0,5.1,grey,brown,olive,slim,ITALIAN,M,"('ITALIAN', 'M')"
4,Girard,29,"('charismatic', 'ambitious', 'intellectual')","('arrogant', 'pushy', 'workaholic')","('fencing', 'writing', 'travelling')",journalist,Pen Strike,upper class,pansexual,agnostic,0,6.0,black,grey,fair,lean,FRENCH,M,"('FRENCH', 'M')"
5,Gyslaine,34,"('empathetic', 'patient', 'creative')","('shy', 'self-doubting', 'overcritical')","('baking', 'sewing', 'knitting')",nurse,Healing Wave,middle class,heterosexual,Christian,0,5.5,red,blue,fair,average,FRENCH,F,"('FRENCH', 'F')"
6,Olajumoke,26,"('innovative', 'resilient', 'adventurous')","('impatient', 'stubborn', 'competitive')","('dancing', 'coding', 'photography')",entrepreneur,Tech Burst,upper middle class,queer,spiritual,0,5.7,black,brown,dark,curvy,AFRICAN,F,"('AFRICAN', 'F')"
7,Rene,39,"('wise', 'thoughtful', 'balanced')","('overprotective', 'demanding', 'skeptical')","('gardening', 'jogging', 'playing chess')",teacher,Telekinesis,middle class,heterosexual,deist,0,6.0,black,green,light brown,average,FRENCH,M,"('FRENCH', 'M')"
8,Heikki,28,"('loyal', 'friendly', 'humorous')","('impulsive', 'stubborn', 'flippant')","('skiing', 'playing drums', 'hiking')",mechanical engineer,Gear Shift,working class,heterosexual,atheist,0,6.0,brown,blue,fair,muscular,NORDIC,M,"('NORDIC', 'M')"
9,Lambrini,24,"('cheerful', 'artistic', 'adventurous')","('naive', 'forgetful', 'indecisive')","('painting', 'bird watching', 'running')",graphic designer,Art Blast,middle class,lesbian,agnostic,0,5.4,black,brown,olive,slim,GREEK,F,"('GREEK', 'F')"
10,Moussa,32,"('motivated', 'fearless', 'independent')","('reckless', 'sarcastic', 'impatient')","('martial arts', 'reading', 'travelling')",pilot,Sky Dive,middle class,heterosexual,Muslim,0,6.3,black,brown,dark,muscular,AFRICAN,M,"('AFRICAN', 'M')"
11,Vered,41,"('efficient', 'practical', 'persistent')","('blunt', 'reserved', 'inflexible')","('gardening', 'painting', 'scrapbooking')",architect,Earthquake,upper middle class,bisexual,Jewish,0,5.8,brown,hazel,olive,average,ISRAELI,F,"('ISRAELI', 'F')"
12,Xingwang,36,"('perceptive', 'diligent', 'resourceful')","('detached', 'critical', 'impatient')","('playing piano', 'solving puzzles', 'coding')",research scientist,Quantum Leap,upper middle class,heterosexual,Buddhist,0,5.7,black,black,fair,slim,CHINESE,M,"('CHINESE', 'M')"
13,Geertjan,43,"('inquisitive', 'sincere', 'patient')","('self-critical', 'reserved', 'introverted')","('reading', 'cycling', 'gardening')",librarian,Echo Voice,middle class,asexual,secular,0,5.11,brown,grey,fair,average,DUTCH,M,"('DUTCH', 'M')"
14,Diomidis,38,"('charismatic', 'intelligent', 'compassionate')","('overwhelmed', 'anxious', 'irritable')","('writing', 'fishing', 'gardening')",doctor,Healing Touch,upper class,heterosexual,Orthodox,0,6.1,black,brown,tan,muscular,GREEK,M,"('GREEK', 'M')"
15,Meixia,29,"('confident', 'bold', 'adventurous')","('impulsive', 'stubborn', 'reckless')","('rock climbing', 'acting', 'origami')",actress,Flash Strike,middle class,pansexual,Taoist,0,5.6,black,black,fair,slim,CHINESE,F,"('CHINESE', 'F')"
