,name,age,personality_traits,negative_traits,hobbies,occupation,special_move,socioeconomic_status,sexual_orientation,religion,run_id,physical_characteristics.height,physical_characteristics.hair_colour,physical_characteristics.eye_colour,physical_characteristics.skin_colour,physical_characteristics.build,Ethnicity,Gender,Group
0,Emanuela,35,"('adventurous', 'compassionate', 'analytical')","('impatient', 'stubborn', 'indecisive')","('painting', 'hiking', 'cooking')",software engineer,coding sprint,middle class,bisexual,agnostic,0,5.6,brown,green,olive,athletic,ITALIAN,F,"('ITALIAN', 'F')"
1,Nikica,42,"('creative', 'organized', 'introspective')","('moody', 'inflexible', 'shy')","('writing poetry', 'gardening', 'playing chess')",librarian,speed reading,middle class,heterosexual,buddhist,0,5.8,black,brown,tan,slender,SLAV,M,"('SLAV', 'M')"
2,Raimondas,28,"('energetic', 'curious', 'optimistic')","('impulsive', 'easily distracted', 'brash')","('snowboarding', 'photography', 'playing guitar')",marketing specialist,networking,upper middle class,homosexual,atheist,0,6.1,blond,blue,fair,muscular,BALTIC,M,"('BALTIC', 'M')"
3,Pierpaolo,50,"('charismatic', 'loyal', 'practical')","('workaholic', 'overprotective', 'blunt')","('wine tasting', 'golfing', 'collecting vintage watches')",restaurateur,pasta making,upper class,heterosexual,catholic,0,5.9,salt and pepper,hazel,olive,stocky,ITALIAN,M,"('ITALIAN', 'M')"
4,Girard,61,"('wise', 'patient', 'cultured')","('aloof', 'stubborn', 'critical')","('reading philosophy', 'playing chess', 'attending theater')",retired professor,reciting poetry from memory,middle class,asexual,agnostic,0,5.11,white,grey,light,slim,FRENCH,M,"('FRENCH', 'M')"
5,Gyslaine,39,"('assertive', 'detail-oriented', 'nurturing')","('sarcastic', 'anxious', 'controlling')","('yoga', 'knitting', 'volunteering at an animal shelter')",nurse practitioner,calming patients,middle class,heterosexual,spiritual but not religious,0,5.3,auburn,blue,freckled,petite,FRENCH,F,"('FRENCH', 'F')"
6,Olajumoke,25,"('ambitious', 'outgoing', 'empathetic')","('competitive', 'gossipy', 'sensitive')","('dancing', 'trying new restaurants', 'travel')",human resources coordinator,conflict resolution,working class,pansexual,christian,0,5.7,dark brown,brown,dark,curvy,AFRICAN,F,"('AFRICAN', 'F')"
7,Rene,33,"('witty', 'adaptable', 'independent')","('snarky', 'non-committal', 'self-centered')","('stand-up comedy', 'rock climbing', 'podcasting')",freelance writer,witty comebacks,middle class,questioning,jewish,0,5.8,red,green,fair,lean,FRENCH,M,"('FRENCH', 'M')"
8,Heikki,45,"('reserved', 'methodical', 'reliable')","('rigid', 'pessimistic', 'unemotional')","('woodworking', 'cross-country skiing', 'playing the violin')",civil engineer,precision planning,upper middle class,heterosexual,lutheran,0,6.0,blond,blue,pale,sturdy,NORDIC,M,"('NORDIC', 'M')"
9,Lambrini,30,"('vibrant', 'unconventional', 'perceptive')","('scattered', 'rebellious', 'overly idealistic')","('abstract painting', 'contemporary dance', 'astrology')",art therapist,interpreting art,working class,queer,spiritual,0,5.5,purple,dark brown,olive,slender,GREEK,F,"('GREEK', 'F')"
